CODE,EVENT.PASS,SINGLE.CAM,MOVEMENT,CAM.FUNCT,DUAL.PRESENCE,SINGLE.RECORDED,WET.DRY,TEMPERATURE,DATE,TIME,D.COUNT,S.COUNT,D.AD.COUNT,S.AD.COUNT,D.SEX,D.AD.SEX,S.AD.SEX,D.SPRAINT,S.SPRAINT,D.VOCAL,S.VOCAL,D.BEDDING,S.BEDDING,D.PLAY,S.PLAY,D.LOAF,S.LOAF,D.GROOMROLL,S.GROOMROLL,D.BEH.COUNT,S.BEH.COUNT
F1.1667,64,ROSE,OUT,y,1,1,D,1,05/03/2013,18:18,3,3,1,0,F,F,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.322,65,CLOSE,TU,TU,1,0,U,6,05/01/2014,19:47,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.322,65,ROSE,IN,y,1,1,U,6,05/01/2014,19:47,1,1,1,1,U,U,U,0,0,0,0,1,0,0,0,0,0,0,0,1,0
F1.778,66,CLOSE,IN.ENTRANCE,y,1,1,D,1,18/04/2011,00:10,3,3,1,1,F,F,F,0,0,1,1,0,0,1,1,0,0,0,0,2,2
F1.778,66,ROSE,IN.ENTRANCE,y,1,1,U,1,18/04/2011,00:10,3,3,1,1,F,F,F,0,0,1,1,0,0,1,1,0,0,0,0,2,2
F1.1919,67,CLOSE,IN.OUT,y,1,1,U,3,08/08/2015,04:30,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1919,67,ROSE,IN.OUT,y,1,1,U,3,08/08/2015,04:30,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.622,68,CLOSE,BEDDING,y,1,1,D,4,29/04/2012,20:08,1,1,1,1,U,U,U,0,0,1,1,1,1,0,0,0,0,0,0,2,2
F1.622,68,ROSE,TU,TU,1,0,U,4,29/04/2012,20:08,1,0,1,0,U,U,U,0,0,1,0,1,0,0,0,0,0,0,0,2,0
F1.590,69,CLOSE,IN.OUT,y,1,1,U,1,15/03/2012,02:17,1,1,1,1,U,U,U,0,0,1,1,0,0,0,0,0,0,1,1,2,2
F1.590,69,ROSE,TU,TU,1,0,U,1,15/03/2012,02:17,1,0,1,0,U,U,U,0,0,1,0,0,0,0,0,0,0,1,0,2,0
F1.51,70,CLOSE,IN,y,1,1,U,8,30/10/2014,19:06,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.51,70,ROSE,TU,TU,1,0,U,8,30/10/2014,19:06,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1791,71,CLOSE,IN,y,1,1,U,0,04/04/2015,06:30,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1791,71,ROSE,NO.TRIGGER,NO.TRIGGER,1,0,U,0,04/04/2015,06:30,1,0,1,0,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.616,72,CLOSE,IN,y,1,1,W,3,19/04/2012,04:25,3,3,1,1,F,F,F,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.616,72,ROSE,IN,y,1,1,U,3,19/04/2012,04:25,3,3,1,1,F,F,F,1,1,0,0,0,0,0,0,0,0,0,0,1,1
